n,surface,freq,harmony,final_class,reason
558,зайырлы,56,back,vowel,pure-cyrillic-short-high-freq
559,комитеттің,56,mixed,nasal,pure-cyrillic-short-high-freq
561,түсінді,56,front,vowel,pure-cyrillic-short-high-freq
562,хабарласып,56,back,voiceless_consonant,pure-cyrillic-short-high-freq
563,шығанағ,56,back,voiced_consonant,pure-cyrillic-short-high-freq
564,құқы,56,back,vowel,pure-cyrillic-short-high-freq
565,англияда,55,back,vowel,pure-cyrillic-short-high-freq
566,аумағ,55,back,voiced_consonant,pure-cyrillic-short-high-freq
567,африкада,55,back,vowel,pure-cyrillic-short-high-freq
568,ескертпе,55,front,vowel,pure-cyrillic-short-high-freq
569,каталог,55,back,voiced_consonant,pure-cyrillic-short-high-freq
570,кмсағ,55,back,voiced_consonant,pure-cyrillic-short-high-freq
571,комиссары,55,back,vowel,pure-cyrillic-short-high-freq
572,найза,55,back,vowel,pure-cyrillic-short-high-freq
573,референдум,55,front,nasal,pure-cyrillic-short-high-freq
574,салынуы,55,back,vowel,pure-cyrillic-short-high-freq
575,салыңдар,55,back,liquid,pure-cyrillic-short-high-freq
576,ажырамас,54,back,voiceless_consonant,pure-cyrillic-short-high-freq
577,африканың,54,back,nasal,pure-cyrillic-short-high-freq
578,доцент,54,mixed,voiceless_consonant,pure-cyrillic-short-high-freq
579,жайкүйі,54,mixed,vowel,pure-cyrillic-short-high-freq
580,исландия,54,back,unknown,pure-cyrillic-short-high-freq
582,кредиттер,54,front,liquid,pure-cyrillic-short-high-freq
584,объективті,54,mixed,vowel,pure-cyrillic-short-high-freq
585,оқшау,54,back,vowel,pure-cyrillic-short-high-freq
588,швейцария,54,mixed,unknown,pure-cyrillic-short-high-freq
590,артезиан,53,mixed,nasal,pure-cyrillic-short-high-freq
592,джеймс,53,front,voiceless_consonant,pure-cyrillic-short-high-freq
593,испанияның,53,back,nasal,pure-cyrillic-short-high-freq
594,кітаб,53,mixed,voiced_consonant,pure-cyrillic-short-high-freq
